epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
36: 60.02917199488491 60.02517583120205 59.924872122762146 78.87 80.41 81.13 80.13922320846504 80.12919362118255 80.12417882754131
37: 60.1118925831202 60.28772378516624 60.24136828644501 80.83 80.13 80.44 80.11712677398324 80.14470813901013 80.1572451231132
38: 60.49072890025575 60.65257352941177 60.557065217391305 78.34 80.2 78.73 80.13365992176927 80.13115252494866 80.08100458853623
39: 60.54787404092072 60.63818734015345 60.7428868286445 79.49 80.46 80.26 80.15920402687934 80.12660786821134 80.1441596459556
40: 61.014226342711 61.129315856777495 60.986253196930946 78.86 78.15 78.97 80.11101499423307 80.1085075974125 80.15113334336301
41: 61.2735773657289 61.36908567774936 61.11812659846547 79.86 79.93 80.18 80.09307143573542 80.14572676896847 80.13569718168597
42: 61.81265984654731 61.52773337595908 61.34351023017903 78.88 79.74 79.33 80.09252294268096 80.11508951406651 80.13264129181088
43: 61.94213554987212 61.631633631713555 61.74552429667519 76.06 78.42 77.76 80.0358714457651 80.09103417581876 80.11610814402495
44: 61.91855818414322 61.939338235294116 62.12396099744245 77.97 79.01 79.21 80.07379582267689 80.11642156862744 80.12645115590992
45: 62.324168797953966 62.279411764705884 62.12036445012788 77.86 78.07 78.51 80.0509158266888 80.07849719171564 80.04590103304761
46: 62.50679347826087 62.280610613810744 62.42527173913044 80.06 79.17 80.02 80.0874297928891 80.08241499924785 80.08241499924786
47: 62.739769820971865 62.71139705882353 62.81130115089514 79.07 79.06 79.6 80.03681171957274 80.06290431773733 80.04535253999299
48: 63.022298593350385 62.76694373401534 62.85246163682864 77.55 77.72 76.77 80.07442267188206 80.05185610049642 80.02176733864904
49: 63.11261189258312 63.09582800511509 62.94796994884911 77.52 78.07 78.53 79.99865227420894 80.07136678200695 80.04127802015954

