epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
1: 28.202125959079282 28.57097186700767 28.091831841432224 34.84 34.8 35.38 100.0 100.0 100.0
2: 36.248401534526856 35.77165920716113 36.669996803069054 39.74 39.44 40.06 100.0 100.0 100.0
3: 39.08647698209719 38.61173273657289 39.535246163682864 42.7 41.48 42.86 100.0 100.0 100.0
4: 40.49872122762148 40.487531969309465 41.31713554987212 44.04 42.34 44.68 100.0 100.0 100.0
5: 42.244645140664964 42.19309462915601 42.480019181585675 44.48 44.38 41.92 100.0 100.0 100.0
6: 43.088235294117645 43.29084079283887 43.74240728900256 45.14 44.54 44.82 100.0 100.0 100.0
epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.88 9.38 11.1 0 0 0
1: 28.367567135549873 28.444693094629155 28.194932864450127 34.62 35.0 35.96 100.0 100.0 100.0
epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
0: 0 0 0 10.88 9.38 11.1 0 0 0
1: 28.369565217391305 28.341192455242968 28.14298273657289 34.6 35.14 36.02 100.0 100.0 100.0
2: 36.34510869565217 35.974264705882355 36.73073849104859 39.14 39.96 40.64 100.0 100.0 100.0
3: 39.180786445012785 38.869884910485936 39.46171675191816 42.28 42.0 42.16 100.0 100.0 100.0
4: 40.39082480818414 40.73729219948849 40.82360933503836 44.0 42.42 43.72 100.0 100.0 100.0
5: 41.8897858056266 42.40449168797954 42.09958439897698 44.32 43.82 42.58 100.0 100.0 100.0
epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
