epoch train_acc1 train_acc2 train_acc3 test_acc1 test_acc2 test_acc3 pure_ratio1 pure_ratio2 pure_ratio3
17: 52.40609015345269 52.15992647058823 52.27981138107417 78.91 76.27 78.13 63.17372713304531 63.174339239419936 62.844996399082326
18: 52.64865728900256 52.68422314578005 52.621083759590796 77.66 77.34 80.11 62.89494861397071 63.06897350140755 63.567866786451255
19: 52.80171035805627 52.63107416879795 52.83447890025575 79.39 77.55 79.78 63.190904616287106 63.29291426561336 63.34818316785629
20: 53.262468030690535 53.025895140664964 53.06705562659847 80.24 79.13 80.45 63.16505638336995 63.4855742176201 63.7296390227785
21: 53.57936381074169 53.280850383631716 53.3284047314578 79.13 80.12 80.68 63.03473785172974 63.25271236933896 63.05863663212986
22: 53.60014386189258 53.50743286445013 53.66847826086956 80.6 80.11 80.19 62.59326550569358 62.52027276734207 63.01041142044483
23: 53.994565217391305 53.77797314578005 53.57137148337596 80.73 80.48 81.58 62.576222709073335 62.51528799726596 62.7207301112604
24: 54.28228900255755 53.94781010230179 54.112452046035806 81.13 79.79 78.7 61.88374629636169 61.79644443643593 61.90457062048133
25: 54.59638746803069 54.39937659846547 54.38578964194373 81.4 81.47 81.14 62.01269718012633 62.812717809166315 62.42660942591353
26: 54.594389386189256 54.428548593350385 54.517263427109974 77.91 80.86 79.39 61.885247984377024 61.71538879288506 62.113906159130956
27: 54.91927749360614 54.79419757033248 54.71347506393862 82.44 80.86 81.4 62.20216944472061 62.19964571521235 62.611064420672506
28: 54.97082800511509 54.96403452685422 54.892503196930946 81.49 80.94 81.99 61.53991208100219 61.60915349518987 61.975695768244236
29: 55.37723785166241 54.969229539641944 55.19501278772378 81.54 81.82 81.98 61.71142278713464 61.519514002113134 61.42464883008211
30: 55.57904411764706 55.3212915601023 55.5866368286445 82.21 81.13 81.44 61.25056757439362 61.11714370246385 61.02876731526064
31: 55.627797314578004 55.584638746803066 55.61061381074169 82.17 81.92 82.02 60.531455164392206 59.968938344469436 59.98270278817617
32: 55.74848145780051 55.66656010230179 55.56465792838875 82.27 82.03 83.1 60.87898675139207 60.96487263935838 60.97208819128184
33: 55.79443734015345 56.13690856777494 55.937899616368284 81.63 80.95 81.98 60.22125707672197 60.27550723072407 60.47784982514816
34: 55.87156329923274 56.12971547314578 56.02062020460358 82.21 81.16 82.79 60.31399163634117 60.72538766642149 60.905807950210324
35: 56.18925831202046 56.37707800511509 56.20724104859335 82.28 82.54 83.12 61.418352353780975 61.02930472703313 60.98925240822905
36: 56.22921994884911 56.40625 56.299952046035806 81.16 82.62 81.8 59.88580850964427 60.18152039729831 59.90360696815132
37: 56.49776214833759 56.58048273657289 56.33032289002558 83.06 83.02 81.53 59.48293567662767 59.56682942669229 59.84497626273508
38: 56.64442135549872 56.718350383631716 56.61524936061381 81.15 82.18 82.76 59.93428971138265 59.93213246088007 59.950821358326365
39: 56.84782608695652 56.6863810741688 56.74312659846547 82.36 83.18 83.44 59.68046865398332 59.428451428451304 60.07976745962139
40: 56.96371483375959 57.03844309462916 56.77070012787724 83.69 83.6 82.46 59.93129229575761 59.46509636606245 60.1094186911899
41: 57.06601662404092 57.06841432225064 56.96371483375959 80.62 82.84 82.95 60.24628958348272 59.52611612964088 60.16041538169424
42: 57.04243925831202 57.20548273657289 57.01686381074169 82.99 83.46 81.98 59.58661497533421 59.98860505695129 60.13489662268072
43: 57.141144501278774 57.44325447570333 57.28980179028133 83.26 83.58 83.29 57.99554516885596 57.98182604482632 58.570026233064624
44: 57.445252557544755 57.5087915601023 57.415281329923275 83.53 83.49 83.89 58.716398517693364 59.02927843829956 59.2819115987093
45: 57.47282608695652 57.59550831202046 57.44085677749361 83.49 83.94 83.99 58.549429167098516 58.541690888443405 59.113836280286
46: 57.87883631713555 57.79171994884911 57.6974104859335 83.2 82.77 83.84 58.61408968169246 58.44852900289821 58.67673686204589
47: 57.65265345268542 57.87963554987212 57.67543158567775 84.39 84.11 84.09 58.54464330505075 58.93972430979484 59.18774235227292
48: 57.919996803069054 57.83807544757033 57.84127237851662 83.55 80.15 83.47 58.442082420960425 58.18818947040077 58.88630255596717
49: 58.02030051150895 57.987132352941174 58.04307864450128 83.9 83.2 83.59 57.85439254850711 57.93173300331528 58.018374666415504

